---------------------------
|Estatíst.dados    |Número|
|-------------------------|
|Registros transfs.|   854|
---------------------------
14.04.2022                                                                                                                                                                                                                                              Relatório de ativo imobilizado                                                                                                                                                                                                                                                  2
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Relatório de ativo imobilizado
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Empr|Classe|Imobilizado |Sbnº|Denominação do imobilizado                        |Denominação do imobilizado                |Recebedor de Mercadorias|Local de instalação|Texto nºprinc.imob.                               |Dt.incorp.|Quantidade|UMB|UMB|Quantidade Retroativa|UMB|Nº inventário    |Nº série/Chassi   |Centro cst|Cen.|Centro                  |Espécie|Espécie                      |Ordem de investimento|Elemento PEP|Dta.desat.|Imob.origem |SubnºIeA|Val.aquis.atual|Moeda|  Depr.atual|Moeda|Val.cont.atual|Moeda|
|1001|2200  |220000000450|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-190089-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7239ER433779 |1171340   |1171|Salvador II             |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000448|0       |    172.370,83 |BRL  | 172.370,83-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000450|1   |Plataformas Elevatórias Envasado- 2019            |700000005231                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1171340   |1171|Salvador II             |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036668|0       |     22.301,57 |BRL  |   4.508,17-|BRL  |    17.793,40 |BRL  |
|1001|2200  |220000000453|0   |TRICICLO HONDA CARGO 150 ANO 2014                 |001-132191-190816-0                       |              0000000000|                   |TRICICLO HONDA CARGO 150 ANO 2014                 |11.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9C2KC1640ER000803 |1331310   |1331|Itabira                 |101    |VEICULOS/MOTOCICLETA/TRICICLO|                     |            |00.00.0000|            |        |     11.701,01 |BRL  |  11.438,11-|BRL  |       262,90 |BRL  |
|1001|2200  |220000000455|0   |TRICICLO HONDA CARGO 150 ANO 2014                 |001-132191-190817-0                       |              0000000000|                   |TRICICLO HONDA CARGO 150 ANO 2014                 |17.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9C2KC1640ER000382 |1331310   |1331|Itabira                 |101    |VEICULOS/MOTOCICLETA/TRICICLO|                     |            |00.00.0000|            |        |     11.701,01 |BRL  |  11.437,74-|BRL  |       263,27 |BRL  |
|1001|2200  |220000000458|0   |TRICICLO HONDA CARGO 150 ANO 2014                 |001-132191-190819-0                       |              0000000000|                   |TRICICLO HONDA CARGO 150 ANO 2014                 |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9C2KC1640ER001192 |1331310   |1331|Itabira                 |101    |VEICULOS/MOTOCICLETA/TRICICLO|                     |            |00.00.0000|            |        |      7.408,00 |BRL  |   7.408,00-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000461|0   |TRICICLO HONDA CARGO 150 ANO 2014                 |001-132191-190820-0                       |              0000000000|                   |TRICICLO HONDA CARGO 150 ANO 2014                 |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9C2KC1640ER001118 |1331310   |1331|Itabira                 |101    |VEICULOS/MOTOCICLETA/TRICICLO|                     |            |00.00.0000|            |        |      7.408,00 |BRL  |   7.408,00-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000463|0   |CAMINHAO TRUCK BOB-TAIL VW 24280 ANO2013          |001-132191-193068-0                       |              0000000000|                   |CAMINHAO TRUCK BOB-TAIL VW 24280 ANO2013          |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |953658248ER408433 |1019380   |1019|Paulínia                |103    |CAMINHAO TANQUE              |                     |            |00.00.0000|            |        |    288.978,11 |BRL  | 288.978,11-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000466|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-193356-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7230ER444086 |1143340   |1143|Jacarezinho             |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000468|0       |    168.047,62 |BRL  | 168.047,62-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000466|1   |Plataformas Elevatórias Envasado- 2019            |700000005167                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |27.04.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1143340   |1143|Jacarezinho             |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036604|0       |     15.615,00 |BRL  |   3.253,13-|BRL  |    12.361,87 |BRL  |
|1001|2200  |220000000467|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-193355-0                       |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7230ER443973 |1143340   |1143|Jacarezinho             |102    |CAMINHAO CARGA               |                     |            |00.00.0000|            |        |    150.557,62 |BRL  | 150.557,62-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000467|1   |PLATAFORMA ELEVATÓRIA                             |PI-1021-02/21-003-10431                   |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |06.12.2021|    1,000 |UN |UN |               0,000 |UN |NÃO APLICÁVEL    |9533E7230ER443973 |1043340   |1043|Londrina                |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000052647|0       |     31.030,32 |BRL  |       0,00 |BRL  |    31.030,32 |BRL  |
|1001|2200  |220000000469|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-194450-0                       |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7234ER437884 |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000475|0       |    159.584,62 |BRL  | 159.584,62-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000469|1   |Plataformas Elevatórias Envasado- 2019            |700000005221                              |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036658|0       |     13.337,00 |BRL  |   3.245,94-|BRL  |    10.091,06 |BRL  |
|1001|2200  |220000000473|0   |CAMINHAO TOCO BOB-TAIL VW 15190 ANO 2014          |001-132191-194305-0                       |              0000000000|                   |CAMINHAO TOCO BOB-TAIL VW 15190 ANO 2014          |07.09.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7236ER445887 |1012380   |1012|São José dos Campos     |103    |CAMINHAO TANQUE              |                     |            |00.00.0000|            |        |    244.672,77 |BRL  | 239.155,87-|BRL  |     5.516,90 |BRL  |
|1001|2200  |220000000474|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-194451-0                       |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7236ER437546 |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000481|0       |    156.614,62 |BRL  | 156.614,62-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000474|1   |Plataformas Elevatórias Envasado- 2019            |700000005177                              |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036614|0       |     13.337,00 |BRL  |   3.245,94-|BRL  |    10.091,06 |BRL  |
|1001|2200  |220000000476|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-194452-0                       |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7233ER437133 |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000477|0       |    159.584,62 |BRL  | 159.584,62-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000476|1   |Plataformas Elevatórias Envasado- 2019            |700000005176                              |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036613|0       |     13.337,00 |BRL  |   3.245,94-|BRL  |    10.091,06 |BRL  |
|1001|2200  |220000000479|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-194453-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7238ER436303 |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000478|0       |    156.614,62 |BRL  | 156.614,62-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000479|1   |Plataformas Elevatórias Envasado- 2019            |700000005174                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036611|0       |     13.337,00 |BRL  |   3.245,94-|BRL  |    10.091,06 |BRL  |
|1001|2200  |220000000480|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-194454-0                       |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7239ER438495 |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000471|0       |    159.584,62 |BRL  | 159.584,62-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000480|1   |Plataformas Elevatórias Envasado- 2019            |700000005173                              |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1111340   |1111|Barueri                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036610|0       |     13.337,00 |BRL  |   3.245,94-|BRL  |    10.091,06 |BRL  |
|1001|2200  |220000000487|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-194904-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7237ER443503 |1154340   |1154|Caxias do Sul           |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000457|0       |    143.492,32 |BRL  | 143.492,32-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000487|1   |Plataformas Elevatórias Envasado- 2019            |700000005209                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1154340   |1154|Caxias do Sul           |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036646|0       |     21.163,50 |BRL  |   4.214,50-|BRL  |    16.949,00 |BRL  |
|1001|2200  |220000000490|0   |CAMINHAO TRUCK BOB-TAIL VW 24280 ANO2013          |001-132191-195022-0                       |              0000000000|                   |CAMINHAO TRUCK BOB-TAIL VW 24280 ANO2013          |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |953658248ER408061 |1041380   |1041|Araucária               |103    |CAMINHAO TANQUE              |                     |            |00.00.0000|            |        |    290.414,01 |BRL  | 290.414,01-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000491|0   |CAMINHAO TRUCK BOB-TAIL VW 24280 ANO2013          |001-132191-195188-0                       |              0000000000|                   |CAMINHAO TRUCK BOB-TAIL VW 24280 ANO2013          |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |95365824XER407509 |1054380   |1054|Passo Fundo             |103    |CAMINHAO TANQUE              |                     |            |00.00.0000|            |        |    224.045,60 |BRL  | 224.045,60-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000492|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-195105-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7236ER443685 |1041340   |1041|Araucária               |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000048226|0       |    143.651,10 |BRL  | 143.651,10-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000492|1   |Plataformas Elevatórias Envasado- 2019            |700000005166                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |27.04.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1041340   |1041|Araucária               |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036603|0       |     19.215,00 |BRL  |   3.634,30-|BRL  |    15.580,70 |BRL  |
|1001|2200  |220000000493|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-195215-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7235ER444066 |1053340   |1053|Pelotas                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000496|0       |    151.634,62 |BRL  | 151.634,62-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000493|1   |Plataformas Elevatórias Envasado- 2019            |700000005180                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1053340   |1053|Pelotas                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036617|0       |     21.163,50 |BRL  |   4.214,50-|BRL  |    16.949,00 |BRL  |
|1001|2200  |220000000494|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-195216-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7232ER443991 |1051340   |1051|Canoas                  |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000001545|0       |    150.303,07 |BRL  | 150.303,07-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000494|1   |Plataformas Elevatórias Envasado- 2019            |700000005181                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1051340   |1051|Canoas                  |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036618|0       |     21.163,50 |BRL  |   4.214,50-|BRL  |    16.949,00 |BRL  |
|1001|2200  |220000000495|0   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |001-132191-195217-0                       |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7236ER443993 |1051340   |1051|Canoas                  |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000001547|0       |    155.658,07 |BRL  | 155.658,07-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000495|1   |Plataformas Elevatórias Envasado- 2019            |700000005179                              |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 COM CARROCERIA    |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1053340   |1053|Pelotas                 |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036616|0       |     21.163,50 |BRL  |   4.214,50-|BRL  |    16.949,00 |BRL  |
|1001|2200  |220000000497|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-195390-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |16.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E723XER444161 |1028340   |1028|Cachoeiro do Itapemirim |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000048147|0       |    143.563,83 |BRL  | 141.960,60-|BRL  |     1.603,23 |BRL  |
|1001|2200  |220000000497|1   |Plataformas Elevatórias Envasado- 2019            |700000005197                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1028340   |1028|Cachoeiro do Itapemirim |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036634|0       |     22.500,72 |BRL  |   4.486,32-|BRL  |    18.014,40 |BRL  |
|1001|2200  |220000000498|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-195391-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |16.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7231ER443576 |1028340   |1028|Cachoeiro do Itapemirim |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000048148|0       |    143.563,83 |BRL  | 141.960,60-|BRL  |     1.603,23 |BRL  |
|1001|2200  |220000000498|1   |Plataformas Elevatórias Envasado- 2019            |700000005196                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1028340   |1028|Cachoeiro do Itapemirim |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036633|0       |     22.501,87 |BRL  |   4.486,58-|BRL  |    18.015,29 |BRL  |
|1001|2200  |220000000499|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-195392-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |16.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7239ER444068 |1028340   |1028|Cachoeiro do Itapemirim |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000048146|0       |    140.833,00 |BRL  | 139.260,68-|BRL  |     1.572,32 |BRL  |
|1001|2200  |220000000499|1   |Plataformas Elevatórias Envasado- 2019            |700000005195                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1028340   |1028|Cachoeiro do Itapemirim |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036632|0       |     23.538,59 |BRL  |   4.724,17-|BRL  |    18.814,42 |BRL  |
|1001|2200  |220000000500|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-195393-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |16.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7238ER444062 |1028340   |1028|Cachoeiro do Itapemirim |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000048149|0       |    142.293,00 |BRL  | 140.704,16-|BRL  |     1.588,84 |BRL  |
|1001|2200  |220000000500|1   |Plataformas Elevatórias Envasado- 2019            |700000005235                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1061340   |1061|Brasília                |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036672|0       |     22.501,87 |BRL  |   4.486,58-|BRL  |    18.015,29 |BRL  |
|1001|2200  |220000000503|0   |CAMINHAO TRUCK BOB-TAIL VW 24280 ANO2014          |001-132191-195744-0                       |              0000000000|                   |CAMINHAO TRUCK BOB-TAIL VW 24280 ANO2014          |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |953658241ER408418 |1041380   |1041|Araucária               |103    |CAMINHAO TANQUE              |                     |            |00.00.0000|            |        |    236.785,35 |BRL  | 236.785,35-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000504|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-195779-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |02.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7236ER435649 |1222340   |1222|Araruama                |102    |CAMINHAO CARGA               |                     |            |00.00.0000|            |        |    140.045,30 |BRL  | 140.045,30-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000504|1   |Plataformas Elevatórias Envasado- 2019            |700000005175                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1222340   |1222|Araruama                |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036612|0       |     15.907,00 |BRL  |   3.524,62-|BRL  |    12.382,38 |BRL  |
|1001|2200  |220000000505|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-195787-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7230ER437848 |1721340   |1721|C. Grande - RJ          |102    |CAMINHAO CARGA               |                     |            |00.00.0000|            |        |    140.800,36 |BRL  | 140.800,36-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000505|1   |Plataformas Elevatórias Envasado- 2019            |700000005146                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1721340   |1721|C. Grande - RJ          |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036334|0       |     13.100,00 |BRL  |   3.002,08-|BRL  |    10.097,92 |BRL  |
