IdArbitragem;NomArbitro;TpoArbitro;NomPaisOrigem;DthInclusao;DthAlteracao
79;Michael Oliver;Árbitro;Inglaterra;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
80;Stuart Burt;Assistente;Inglaterra;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
81;Simon Bennett;Assistente;Inglaterra;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
82;Nicolás Tarán;Assistente;Uruguai;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
83;Martín Soppi;Assistente;Uruguai;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
84;Danny Makkelie;Árbitro;Holanda;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
85;Hessel Steegstra;Assistente;Holanda;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
86;Jan de Vries;Assistente;Holanda;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
87;Anthony Taylor;Árbitro;Inglaterra;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
88;Gary Beswick;Assistente;Inglaterra;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
89;Adam Nunn;Assistente;Inglaterra;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
90;Abdulrahman Al-Jassim;Quarto Árbitro;Catar;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
91;Bakary Gassama;Árbitro;Gambia;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
92;Elvis Noupue;Assistente;Camarões;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
93;Mahmoud Ahmed Kamel Abo El Regal;Assistente;Egito;2022-12-19 08:15:15.003;2022-12-19 08:15:15.003
94;Matthew Conger;Árbitro;Nova Zelância;2022-12-19 08:15:15.007;2022-12-19 08:15:15.007
95;Mark Rule;Assistente;Nova Zelândia;2022-12-19 08:15:15.007;2022-12-19 08:15:15.007
96;Tevita Makasini;Assistente;Tonga;2022-12-19 08:15:15.007;2022-12-19 08:15:15.007
97;Salima Mukansanga;Quarto Árbitro;Ruanda;2022-12-19 08:15:15.007;2022-12-19 08:15:15.007
98;Neuza Ines Back;Assistente;BRASIL;2022-12-19 08:15:15.007;2022-12-19 08:15:15.007
99;Karen Diaz Medina;Assistente;México;2022-12-19 08:15:15.007;2022-12-19 08:15:15.007
100;Kathryn Nesbitt;Assistente;EUA;2022-12-19 08:15:15.007;2022-12-19 08:15:15.007
